text,label,platform
"Reminder: @breakoutprop is offering 10% off on ALL accounts when you use code WOODS at checkout.

For a limited time, access capital to help you scale at a major discount 👇

https://t.co/hBUp79kn8m",Promotions,X
"80% OFF on Funded Futures Family
Drop '💚' for a free $50k FFF account!

Use code: PLAZA
(80% off + 2 FREE accounts on payout)

Grab this offer!
(Winner in 48 hours, stay active) https://t.co/PjLJ4UL666",Promotions,X
"https://t.co/5AAMhsxlDp 

use code R419 at checkout for 10% off.",Promotions,X
"🚨 5x $10,000 FUNDING GIVEAWAY 🚨

🔹Follow @Atlasfunded @LAntonioAF @CianHansardAF @PipsCabal 

🔹Like &amp; Repost

🔹Like &amp; Repost Quoted Post

🔹Tag 3 Traders

35% OFF + 120% REFUND USE CODE APR35💚 go https://t.co/lIkqJRbJ20",Promotions,X
"🚨 5x $10,000 FUNDING GIVEAWAY 🚨

🔹Follow @Atlasfunded @LAntonioAF @CianHansardAF @IvanaAF @dProdigalTrader
And @tradewithola

🔹Like &amp; Repost

🔹Like &amp; Repost Quoted Post

🔹Tag 3 Traders

35% OFF + 120% REFUND USE CODE APR35💚 https://t.co/7744xOxZf2",Promotions,X
"Comment your favourite pair &amp; time frame
My favorite - NQ + 3 mins chart (scalp)

Giveaway info: 🎁
$50k Premier ""Funded Futures Family""
Follow: @propfirmsplaza @fundedfamily

Use code: PLAZA
(80% OFF + 3 FREE accounts on payout)
Must purchase 2 accounts together! https://t.co/1gohhXFuy7",Promotions,X
"STARTING RIGHT NOW shipping is FREE the laws of INTERNATIONAL PARCEL DELIVERY no longer apply. GSupps is straight up shippin' it crazy style on all orders over $75. I heard if you use code vtubermale you'll get 10% off AND ALSO receive the boon of ""me not getting hit by hammers."" https://t.co/MDPaV8YzCV",Promotions,X
"🚨 40% OFF ANY EVAL 🚨

Limit 5 per trader
Use code: INNER

⏳ Valid till May 17 @ 5PM EST Don’t miss this 🔥 https://t.co/zlHS5MFger",Promotions,X
"Breakfast of champions! 💪 

A scoop of @GFuelEnergy’s Energy + Protein with a pint of milk has been my go-to way to start every day for over a year!

Use code ACE for 20% off!

https://t.co/emBYyxfbvF https://t.co/HkdZUgKqTj",Promotions,X
"Get the NEW @GFuelEnergy X Final Boss Sour Collector's Box and use Code FREEZE to get 30% OFF! 👇🏻
https://t.co/LHmtnfICgW https://t.co/YYCvBnLWM6",Promotions,X
"2 × $50K Earn2trade accounts giveaway!

Use code: PLAZA
(50% OFF + Payout bonus account)

winner in 24 hours, @grok way always!
👇🏻 Comment your strategy in one sentence!",Promotions,X
NEW MERCH DROP! Use code ROSE for 5% off only until Sunday! 🔗 below! https://t.co/K7chIXG3TM,Promotions,X
"⚡ $10K Giveaway – 2×$5K Accounts ⚡

Here’s how to enter 👇

🔹 Follow @the5erstrading @PropFirmPerk  
🔹 Like + Repost this post &amp; tag 3 trader friends

Get 10% OFF any challenge from The5ers
Use code: PERK10 https://t.co/lgefgzxEV1",Promotions,X
"Ad: 40% off adidas Anthony Edwards 2 at $78 each + shipping, use code TAKE40

All Star:https://t.co/tDG0DNatRi
Ant-Lanta:https://t.co/Mlx6grOYQ9
Georgia Bulldogs:https://t.co/6Q7STLBPSX
Alphadawg:https://t.co/leG5W6Q21Y
Core Black:https://t.co/cAnziYs0h4
Lucid Pink:https://t.co/xgfQvHW2cv",Promotions,X
"April 23rd Home Run Cheat Sheet ⚾🔥

We’re running it back 🤑

📊 RESEARCH FROM @hofapp 📈🔍
Use code MIND for a 7-day free trial + 50% off your first month. https://t.co/h08MCwl0lU",Promotions,X
"GAP EXTRA CLEARANCE HAUL SALE

Gap discounted items but auto 60% OFF is applying at checkout

Includes products such as T-shirts, jackets, and more

Use code ""GFCYBER"" or ""GFSHIP"" for extra 10% off AND free shipping

https://t.co/MVgfLy8Jcd #ad https://t.co/A9x0ZrDegs",Promotions,X
"Jake Cronenworth, Walker Buehler and Fernando Tatis Jr. are tonight’s #TerroristsOfTheGame presented by Hong Kong Tijuana and Arby’s 

We have the meats. Use code “BABYMAMA5” for 15% or more off all meat orders from Arby’s. https://t.co/ALdMWxwdgo",Promotions,X
Use code CONTRA to get 50% off 3 months of Runway: https://t.co/Nvnbt0oBSP,Promotions,X
"🚨 NEW @GFuelEnergy x FINAL BOSS SOUR 🚨  

Lemon lime soda + grenadine with a SOUR blast 🍋🔥  
This flavor sounds crazy good 😮‍💨⚡  

Use code CITY for 30% OFF 👉 https://t.co/Grij9r5Jot  

#GFuel #FinalBossSour https://t.co/V7LFVLpDBq",Promotions,X
"15% off any VIP package tonight.

Use code PLAYOFFS15 at checkout.

No gimmicks, just a rare discount during playoff season.

Expires at midnight. 👇

https://t.co/mRrFV2ZIDY https://t.co/fK2c6pp70F",Promotions,X
"XAUUSD | EURUSD PERSPECTIVE 🔻

Waiting for alignment to join the BEARS

Join https://t.co/p6dcxdGYjr for weekly and daily perspectives

Also take advantage of @HolaPrimeGlobal 45% off “SPRING40” sale.
Register https://t.co/c7YDBv5UOm and use code. https://t.co/EwVUj7qLhY",Promotions,X
"Registration has been extended, but spots are limited for the WEEKEND 1 session‼️

Use code SHOWCASE for $$ off at checkout.

Claim your spot: https://t.co/SNj1kPoZXG https://t.co/8ja5tIa9ob",Promotions,X
"Boost your site’s SEO with Dead Link Checker Pro, the professional WordPress plugin that automatically scans your website to find and fix broken links.

Details: https://t.co/xs1F1fZtNc

First Order Special: Use code NEWUSER5 to enjoy 5% OFF!

#DeadLinkchecker #WordPressLink #li https://t.co/LAfXPeo1nT",Promotions,X
"Sealegend Dryer Vent Cleaner Kit Vacuum Hose Attachment Compatible with Most Vacuum Cleaner

Extra 10% Off
Use code: BQKTDBPE

Only$6.xx (reg.$14.xx)

https://t.co/qTYC7FAt2S #ad https://t.co/6ezp1AhqpN",Promotions,X
